  120  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
  101  8.4033613445378151E-01  8.7722257567167870E+01  4.2876443697075107E-06  2.5074789583726627E-04  2.4039274177717271E-03  2.1826702223824405E-03
  102  8.4873949579831933E-01  9.6870034042679483E+01  4.1200304011293194E-06  2.6607165680951440E-04  2.4499904376002039E-03  2.1395820986375716E-03
  103  8.5714285714285714E-01  1.0728444570413961E+02  3.9608764343290749E-06  2.8329362183972251E-04  2.4970647193775640E-03  2.0978498077606020E-03
  104  8.6554621848739496E-01  1.1918619918453592E+02  3.8095360642730899E-06  3.0269608277141703E-04  2.5451172743032829E-03  2.0573813086524147E-03
  105  8.7394957983193277E-01  1.3284153244111172E+02  3.6654023474444536E-06  3.2461177656517964E-04  2.5941090093072411E-03  2.0180855469821595E-03
  106  8.8235294117647059E-01  1.4857311460357253E+02  3.5279057389431362E-06  3.4943462910839988E-04  2.6439953578094050E-03  1.9798725376883164E-03
  107  8.9075630252100840E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  108  8.9915966386554622E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  109  9.0756302521008403E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  110  9.1596638655462185E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  111  9.2436974789915966E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  112  9.3277310924369748E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  113  9.4117647058823529E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  114  9.4957983193277311E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  115  9.5798319327731092E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  116  9.6638655462184874E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  117  9.7478991596638655E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  118  9.8319327731092437E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  119  9.9159663865546218E-01  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
  120  1.0000000000000000E+00  3.7662149233903740E+01  3.7662149233903744E-11  2.5108099489269166E-11  0.0000000000000000E+00  1.0540925533894598E-06
