 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   78  7.7077077077077077E-02  4.6656653366748660E-02  4.3951289131892034E-03  1.3670800413656229E-04  3.6996999301396719E-05  6.9881875834941826E-02
   79  7.8078078078078078E-02  4.9445985886290323E-02  4.1471922667184080E-03  1.3670800685859385E-04  3.7477480016034339E-05  6.7882187703880744E-02
   80  7.9079079079079079E-02  5.2363328810140144E-02  3.9161378645872843E-03  1.3670800977948270E-04  3.7957960751019857E-05  6.5964113683016099E-02
   81  8.0080080080080080E-02  5.5412824417671024E-02  3.7006238451373142E-03  1.3670801291096040E-04  3.8438441507829884E-05  6.4123352005137674E-02
   82  8.1081081081081081E-02  5.8598694392106790E-02  3.4994299194754176E-03  1.3670801626528992E-04  3.8918922288027577E-05  6.2355877558445103E-02
   83  8.2082082082082082E-02  6.1925240321728269E-02  3.3114450378801660E-03  1.3670801985528257E-04  3.9399403093266527E-05  6.0657920961918954E-02
   84  8.3083083083083083E-02  6.5396844197975857E-02  3.1356564381102055E-03  1.3670802369431536E-04  3.9879883925294778E-05  5.9025949454552103E-02
   85  8.4084084084084084E-02  6.9017968910507378E-02  2.9711399064846133E-03  1.3670802779634857E-04  4.0360364785958975E-05  5.7456649421635105E-02
   86  8.5085085085085085E-02  7.2793158739268358E-02  2.8170511050140012E-03  1.3670803217594369E-04  4.0840845677208631E-05  5.5946910400386637E-02
   87  8.6086086086086086E-02  7.6727039843630194E-02  2.6726178370798528E-03  1.3670803684828175E-04  4.1321326601100536E-05  5.4493810424057978E-02
   88  8.7087087087087087E-02  8.0824320748650170E-02  2.5371331406728522E-03  1.3670804182918186E-04  4.1801807559803288E-05  5.3094602578509201E-02
   89  8.8088088088088088E-02  8.5089792828505795E-02  2.4099491124155460E-03  1.3670804713512016E-04  4.2282288555601966E-05  5.1746702658403980E-02
   90  8.9089089089089089E-02  8.9528330787154508E-02  2.2904713778523379E-03  1.3670805278324912E-04  4.2762769590902944E-05  5.0447677821815633E-02
   91  9.0090090090090090E-02  9.4144893136268467E-02  2.1781541340783285E-03  1.3670805879141708E-04  4.3243250668238831E-05  4.9195236152365727E-02
   92  9.1091091091091091E-02  9.8944522670492838E-02  2.0724956999407088E-03  1.3670806517818826E-04  4.3723731790273572E-05  4.7987217047189984E-02
   93  9.2092092092092092E-02  1.0393234694007475E-01  1.9730345169875653E-03  1.3670807196286297E-04  4.4204212959807682E-05  4.6821582357184686E-02
   94  9.3093093093093093E-02  1.0911357872090894E-01  1.8793455512329581E-03  1.3670807916549826E-04  4.4684694179783628E-05  4.5696408213252120E-02
   95  9.4094094094094094E-02  1.1449351648204493E-01  1.7910370518015448E-03  1.3670808680692889E-04  4.5165175453291367E-05  4.4609877478742119E-02
   96  9.5095095095095095E-02  1.2007754485069950E-01  1.7077476277363139E-03  1.3670809490878862E-04  4.5645656783574033E-05  4.3560272774070872E-02
   97  9.6096096096096096E-02  1.2587113507481734E-01  1.6291436088060188E-03  1.3670810349353185E-04  4.6126138174033777E-05  4.2545970024668859E-02
   98  9.7097097097097097E-02  1.3187984548322136E-01  1.5549166601258482E-03  1.3670811258445566E-04  4.6606619628237767E-05  4.1565432488037572E-02
   99  9.8098098098098098E-02  1.3810932194339382E-01  1.4847816238836578E-03  1.3670812220572212E-04  4.7087101149924350E-05  4.0617205219841641E-02
  100  9.9099099099099099E-02  1.4456529831692790E-01  1.4184745645114455E-03  1.3670813238238102E-04  4.7567582743009370E-05  3.9699909942683268E-02
  101  1.0010010010010010E-01  1.5125359691268885E-01  1.3557509963148942E-03  1.3670814314039289E-04  4.8048064411592658E-05  3.8812240284547324E-02
